id,username,prendas_ids,is_good,created_at,ocasion,temporalidad
3,Marta,"[500844891,497496299,527116484]",true,2026-08-25 14:25:05.742799+00,Fiesta-Elegante,Invierno
4,Marta,"[498541491,516621344,553721713,511366370,529581749]",false,2026-08-25 14:26:14.272135+00,,
5,Marta,"[512918863,516621344,553721713,511366370,529581749]",false,2026-08-25 14:26:28.170489+00,,
6,Marta,"[512918863,529617974,553721713,511366370,529581749]",false,2026-08-25 14:26:29.747225+00,,
7,Marta,"[512918863,495684741,553721713,511366370,529581749]",false,2026-08-25 14:26:33.467323+00,,
8,Marta,"[512918863,495684741,526473487,511366370,529581749]",false,2026-08-25 14:26:34.440464+00,,
9,Marta,"[512918863,495684741,514962012,511366370,529581749]",false,2026-08-25 14:26:36.354953+00,,
10,Marta,"[512918863,495684741,526473487,511366370,529581749]",false,2026-08-25 14:26:37.233805+00,,
11,Marta,"[512918863,495684741,511349974,511366370,529581749]",false,2026-08-25 14:26:41.203615+00,,
12,Marta,"[512918863,495684741,515152944,511366370,529581749]",false,2026-08-25 14:26:42.306464+00,,
13,Marta,"[512918863,495684741,507225761,511366370,529581749]",false,2026-08-25 14:26:43.202522+00,,
14,Marta,"[512918863,495684741,507225761,511366370,529581749]",false,2026-08-25 14:26:44.645584+00,,
15,Marta,"[512918863,495684741,527924854,511366370,529581749]",false,2026-08-25 14:26:48.64556+00,,
16,Marta,"[512918863,495684741,510430206,511366370,529581749]",false,2026-08-25 14:26:54.399916+00,,
17,Marta,"[512918863,495684741,510430206,511366370,503357858]",false,2026-08-25 14:26:55.693602+00,,
18,Marta,"[512918863,495684741,510430206,511366370,557788798]",false,2026-08-25 14:27:02.110039+00,,
19,Marta,"[512918863,495684741,510430206,511366370,495689439]",false,2026-08-25 14:27:03.135501+00,,
20,Marta,"[512918863,495684741,510430206,511366370,502060408]",true,2026-08-25 14:27:12.234065+00,Casual,Invierno
21,Marta,"[551481914,495712196,502143481]",false,2026-08-25 14:27:18.63387+00,,
22,Marta,"[520430099,495712196,502143481]",false,2026-08-25 14:27:20.270356+00,,
23,Marta,"[500844891,495712196,502143481]",false,2026-08-25 14:27:21.551743+00,,
24,Marta,"[506034690,495712196,502143481]",false,2026-08-25 14:27:22.707907+00,,
25,Marta,"[520941756,495712196,502143481]",false,2026-08-25 14:27:23.686922+00,,
